date,trackingErrorBps
2019-01-02,229.04870886300884
2019-01-03,230.22319615922916
2019-01-04,229.71986787466417
2019-01-07,230.10922077024415
2019-01-08,230.21352453975646
2019-01-09,230.58286032088083
2019-01-10,230.51925471218368
2019-01-11,230.621972363021
2019-01-14,230.6250696269578
2019-01-15,230.6044825496021
2019-01-16,230.70090242515232
2019-01-17,231.26552241981258
2019-01-18,231.40765302009848
2019-01-22,231.3882903622887
2019-01-23,231.3798979181904
2019-01-24,232.47953202279282
2019-01-25,232.78721145545452
2019-01-28,233.15989711790417
2019-01-29,234.0951939310783
2019-01-30,234.37121910346713
2019-01-31,234.16560422828093
2019-02-01,233.3702077374887
2019-02-04,216.82646227316275
2019-02-05,191.76289069603774
2019-02-06,189.83132458577606
2019-02-07,189.77843725406214
2019-02-08,189.8114894004953
2019-02-11,190.24632933741648
2019-02-12,189.9581580922006
2019-02-13,189.841993741614
2019-02-14,189.88935657044834
2019-02-15,190.93672105396791
2019-02-19,192.12533473681106
2019-02-20,192.15499281824734
2019-02-21,193.31467549788533
2019-02-22,193.5422836400507
2019-02-25,193.84916567834534
2019-02-26,194.85669910030964
2019-02-27,193.4722117099915
2019-02-28,193.09982355575647
2019-03-01,193.28095901745002
2019-03-04,193.15159469177445
2019-03-05,193.1886589887772
2019-03-06,193.24362372275417
2019-03-07,193.24988638497697
2019-03-08,193.35686275313975
2019-03-11,192.69199055770605
2019-03-12,192.20232320675123
2019-03-13,192.43032559029538
2019-03-14,192.3107655426744
2019-03-15,192.29574124494087
2019-03-18,192.89125808466025
2019-03-19,192.64867845697484
2019-03-20,192.303114356363
2019-03-21,192.8808182540622
2019-03-22,193.13233172539606
2019-03-25,193.133498612547
2019-03-26,193.17250951750432
2019-03-27,193.0606643659554
2019-03-28,193.02890787234588
2019-03-29,192.7133938471555
2019-04-01,192.6355957170895
2019-04-02,192.65166721057653
2019-04-03,192.89777696215015
2019-04-04,192.8139815508281
2019-04-05,191.99292240364034
2019-04-08,189.5565579219183
2019-04-09,189.30484338845358
2019-04-10,189.45244128060727
2019-04-11,189.421704821375
2019-04-12,189.78281720905932
2019-04-15,189.46137188707502
2019-04-16,189.53740903598668
2019-04-17,189.62483111627435
2019-04-18,189.62412789273978
2019-04-22,190.04903456887243
2019-04-23,189.4745852071772
2019-04-24,189.493477647433
2019-04-25,189.21333242692236
2019-04-26,189.51932716899245
2019-04-29,189.51621157210542
2019-04-30,189.22970758301884
2019-05-01,190.37411228550476
2019-05-02,190.40002075541292
2019-05-03,190.30055675139366
2019-05-06,190.30560248375295
2019-05-07,190.39380872599682
2019-05-08,190.38025366356118
2019-05-09,190.3120248190048
2019-05-10,190.54350139054435
2019-05-13,189.46742617596485
2019-05-14,189.4870495003842
2019-05-15,190.30774213897087
2019-05-16,190.36990262075832
2019-05-17,189.9020814942531
2019-05-20,190.50250323542693
2019-05-21,190.22175975197553
2019-05-22,190.1613451741559
2019-05-23,190.1613357184606
2019-05-24,190.94468880011155
2019-05-28,190.70939982286606
2019-05-29,190.10688292200396
2019-05-30,190.12806849382366
2019-05-31,190.4968442072142
2019-06-03,190.50270054502832
2019-06-04,190.2447002409236
2019-06-05,189.66180063232252
2019-06-06,189.75077842955955
2019-06-07,189.6167448399584
2019-06-10,189.3770879718016
2019-06-11,189.20798474101437
2019-06-12,188.85341611509352
2019-06-13,183.81506880787407
2019-06-14,182.9434597664597
2019-06-17,182.36530357954103
2019-06-18,183.28437331601512
2019-06-19,182.6861295732436
2019-06-20,182.3515738821502
2019-06-21,182.60587370025192
2019-06-24,182.50399490223182
2019-06-25,182.58426424137542
2019-06-26,182.39849553709914
2019-06-27,182.02227863232477
2019-06-28,181.58702656448477
2019-07-01,181.02057563739467
2019-07-02,181.0287108769075
2019-07-03,180.56466664520698
2019-07-05,177.8574896408473
2019-07-08,177.56085244258924
2019-07-09,177.43583887254755
2019-07-10,172.90579185164597
2019-07-11,172.7380984054169
2019-07-12,172.5890223538323
2019-07-15,172.2204274705957
2019-07-16,172.52509397450297
2019-07-17,172.56106297551577
2019-07-18,172.37574386902745
2019-07-19,171.3527928362392
2019-07-22,170.87109290103882
2019-07-23,171.15645375851415
2019-07-24,171.03358651199403
2019-07-25,171.23912465725778
2019-07-26,170.74251250913667
2019-07-29,170.90422659512103
2019-07-30,171.28233242156193
2019-07-31,170.57941753980842
2019-08-01,170.48396970238122
2019-08-02,170.40297005474534
2019-08-05,171.77310710301833
2019-08-06,171.61197215215162
2019-08-07,172.13344672111361
2019-08-08,171.67182938728405
2019-08-09,172.01272272856474
2019-08-12,171.9593387614364
2019-08-13,171.16159061499363
2019-08-14,171.1117404017284
2019-08-15,171.02051357784973
2019-08-16,170.97285988227716
2019-08-19,170.82043989144685
2019-08-20,170.85553117685126
2019-08-21,171.2656698835969
2019-08-22,171.44244817328763
2019-08-23,171.21759738077793
2019-08-26,172.08934236637677
2019-08-27,171.42386955329246
2019-08-28,170.1512888055476
2019-08-29,170.05388080763865
2019-08-30,168.82846289265262
2019-09-03,169.39567040306366
2019-09-04,170.55972837102692
2019-09-05,171.97144038437125
2019-09-06,172.0303886888214
2019-09-09,171.6731826561513
2019-09-10,171.62006810847208
2019-09-11,171.3631182813127
2019-09-12,171.2611532646523
2019-09-13,171.5190973604643
2019-09-16,171.14405765222992
2019-09-17,172.5649558186933
2019-09-18,173.6764969473567
2019-09-19,174.1915596120727
2019-09-20,174.68521363277574
2019-09-23,173.54313214064692
2019-09-24,172.9556167877505
2019-09-25,172.7763424557178
2019-09-26,172.83788034057508
2019-09-27,173.39954380233627
2019-09-30,172.49841666650923
2019-10-01,172.42867863573136
2019-10-02,173.2993487955478
2019-10-03,173.46906977828934
2019-10-04,173.28167628584032
2019-10-07,173.00067209642268
2019-10-08,172.64743316591648
2019-10-09,171.9270390893199
2019-10-10,171.570172498265
2019-10-11,172.180352381366
2019-10-14,172.43683306323274
2019-10-15,172.3726895031672
2019-10-16,172.91226991587246
2019-10-17,173.02201495609222
2019-10-18,172.65235595140697
2019-10-21,172.71955187830596
2019-10-22,171.63885807378506
2019-10-23,172.02901770483928
2019-10-24,171.75431702357596
2019-10-25,171.84933583961572
2019-10-28,172.2395338556696
2019-10-29,171.9831518436171
2019-10-30,172.39526845120017
2019-10-31,172.30774762540656
2019-11-01,172.9178374374332
2019-11-04,173.17587240140747
2019-11-05,173.0915318240798
2019-11-06,172.8085445455361
2019-11-07,172.62356405307912
2019-11-08,172.59599453752773
2019-11-11,172.48331996281004
2019-11-12,172.56386432373475
2019-11-13,172.59840202057825
2019-11-14,171.43323673822903
2019-11-15,171.2949200378381
2019-11-18,171.29705453262076
2019-11-19,171.41733753010428
2019-11-20,171.37463744867415
2019-11-21,171.34189643959306
2019-11-22,171.23253588182382
2019-11-25,171.11209462311814
2019-11-26,171.0745179050681
2019-11-27,170.51522210398494
2019-11-29,170.39181514262702
2019-12-02,170.35270999566507
2019-12-03,171.85797780910582
2019-12-04,171.8615461355273
2019-12-05,171.60940853868857
2019-12-06,171.80321668575465
2019-12-09,171.74076176544264
2019-12-10,171.70589169828165
2019-12-11,171.55841296274735
2019-12-12,171.7717070403368
2019-12-13,172.0286606911405
2019-12-16,172.04264669471453
2019-12-17,171.21153732135502
2019-12-18,170.7715891708144
2019-12-19,170.0600544309601
2019-12-20,169.8737310203999
2019-12-23,170.01068741717023
2019-12-24,169.98700090063144
2019-12-26,170.3145227596362
2019-12-27,170.33280194972278
2019-12-30,167.7665290660885
2019-12-31,167.51873029363512
2020-01-02,167.9146896203976
2020-01-03,167.52494052706842
2020-01-06,167.33711177890146
2020-01-07,167.6229480794827
2020-01-08,167.78537506730942
2020-01-09,167.61603673675353
2020-01-10,167.40855651649846
2020-01-13,167.33277974483863
2020-01-14,167.51349146537058
2020-01-15,166.74817794668562
2020-01-16,166.41454437701827
2020-01-17,166.34402903729563
2020-01-21,166.47279357185977
2020-01-22,164.82928088736853
2020-01-23,164.5315236938005
2020-01-24,165.04695583273204
2020-01-27,164.58953083789055
2020-01-28,164.8318038488917
2020-01-29,164.54113517032104
2020-01-30,164.74505568714153
2020-01-31,164.31280721606385
2020-02-03,164.88428906630458
2020-02-04,165.4142224288918
2020-02-05,166.65928853091827
2020-02-06,166.4849311343857
2020-02-07,165.8708131937912
2020-02-10,166.506115125223
2020-02-11,167.10201309492336
2020-02-12,167.35213006904536
2020-02-13,166.77966175627944
2020-02-14,165.3697536429593
2020-02-18,165.44277755789693
2020-02-19,163.9077877292657
2020-02-20,164.6477165330757
2020-02-21,164.27819033784155
2020-02-24,164.52209356867385
2020-02-25,164.41315794117557
2020-02-26,164.34364681044073
2020-02-27,165.11336756115907
2020-02-28,168.26587947809315
2020-03-02,168.3745301342583
2020-03-03,172.89918812536015
2020-03-04,177.01127440329398
2020-03-05,176.9386046386039
2020-03-06,177.37730845017145
2020-03-09,199.94907854607976
2020-03-10,203.4767154828336
2020-03-11,203.5676690040431
2020-03-12,219.66238079352084
2020-03-13,224.81302863251284
2020-03-16,238.09935630962474
2020-03-17,244.90603251407134
2020-03-18,258.222948294878
2020-03-19,282.4556179949685
2020-03-20,283.6739747914262
2020-03-23,283.65951062307516
2020-03-24,284.3254686997748
2020-03-25,284.45433465218815
2020-03-26,293.8058400227965
2020-03-27,319.428437155826
2020-03-30,319.74599053193504
2020-03-31,319.75614947867854
2020-04-01,352.94227407214663
2020-04-02,382.4091219063919
2020-04-03,394.2671301340304
