date,riskParity,benchmark
2013-04-30,1.015136929776224,1.003986315833006
2013-05-31,0.9664770146292042,0.9659397315004727
2013-06-30,0.9253242563149559,0.9293575677002684
2013-07-31,0.9541674016993641,0.9761608014817019
2013-08-31,0.937498748062734,0.9652846771846636
2013-09-30,0.9621933613043011,0.9916474386179296
2013-10-31,0.9777897716054754,1.0122603566011714
2013-11-30,0.9725738769371042,1.0122963499209847
2013-12-31,0.97253299955545,1.0186271990376714
2014-01-31,0.9726860394824232,1.0059907131102575
2014-02-28,1.0078896218681703,1.0554082526947977
2014-03-31,1.0054880225522556,1.05492775734621
2014-04-30,1.0258414894785803,1.076729003137718
2014-05-31,1.0492875102155164,1.10211563187586
2014-06-30,1.0655284445767566,1.1234510378450524
2014-07-31,1.036321978936606,1.0872250344062215
2014-08-31,1.0516700468883209,1.105708204244014
2014-09-30,1.00031405517778,1.0455258120897535
2014-10-31,0.9968755077473049,1.0380934696006388
2014-11-30,0.9757237734191679,1.0081652737022881
2014-12-31,0.9347991354242793,0.9377305999161621
2015-01-31,0.9515513279068959,0.9237071693059402
2015-02-28,0.962535033621919,0.9602586761176778
2015-03-31,0.9492152843033725,0.9289567040944734
2015-04-30,0.9719071595782225,0.9830283081376687
2015-05-31,0.959965174925473,0.9676364188449323
2015-06-30,0.9364810729673564,0.9432336056721452
2015-07-31,0.9300122757776864,0.9006268416788398
2015-08-31,0.9070325823203287,0.8666371330653656
2015-09-30,0.8963335357775745,0.8348327471379564
2015-10-31,0.913178993415188,0.8669351986724988
2015-11-30,0.8935680753857262,0.8294746457069394
2015-12-31,0.8716816016517396,0.7890479016388102
2016-01-31,0.8736990275219609,0.7636000725215388
2016-02-29,0.8823017553239779,0.7609225281098536
2016-03-31,0.9179122903655025,0.8115091534422706
2016-04-30,0.9372028454969491,0.853155058414888
2016-05-31,0.9364291144771413,0.8572756782661547
2016-06-30,0.9686635207062357,0.8786553172755399
2016-07-31,0.9710970186998469,0.8643998403220216
2016-08-31,0.9702376317313028,0.8704396743991287
2016-09-30,0.9821068700187245,0.8914320291543488
2016-10-31,0.964140590014225,0.8695885766199843
2016-11-30,0.9346753174720328,0.8594553926631417
2016-12-31,0.9499235604788784,0.8867407227100438
2017-01-31,0.9616772470879914,0.897903892885957
2017-02-28,0.976067321294781,0.9150158169194588
2017-03-31,0.9721682181293967,0.9054305414117729
2017-04-30,0.9824576612071522,0.9104875259322681
2017-05-31,0.9925975083624824,0.920514418750379
2017-06-30,0.9859717664113793,0.914828058785721
2017-07-31,1.0092198116740632,0.9463981173672025
2017-08-31,1.0223536398842774,0.9544813966802674
2017-09-30,1.028136321734778,0.968511904625139
2017-10-31,1.051113780463376,0.9954558304302383
2017-11-30,1.065430563006964,1.0096102016853954
2017-12-31,1.092651129328184,1.0393511173930365
2018-01-31,1.1146875742135078,1.0719482226946748
2018-02-28,1.0722468849219622,1.0206073789294596
2018-03-31,1.0866063768051657,1.0316824072612172
2018-04-30,1.091887312333819,1.0452447124080162
2018-05-31,1.1056209530776522,1.0606867349658302
2018-06-30,1.1126659433981096,1.0662543581386705
2018-07-31,1.1094333376864818,1.0641575666603431
2018-08-31,1.1240455911615153,1.0792445043151329
2018-09-30,1.1213482235215029,1.0905640822809535
2018-10-31,1.0703119704264412,1.0127297206284267
2018-11-30,1.064354870980839,0.9825856756428872
2018-12-31,1.0612536324291693,0.9360445919759245
2019-01-31,1.1102937693859412,1.0154317758885305
2019-02-28,1.1186040777173925,1.0405003940594175
2019-03-31,1.162666741147913,1.0785971254892281
2019-04-30,1.1753285896510466,1.107783540473402
2019-05-31,1.1801837839145803,1.0601053721604
2019-06-30,1.2215567364533466,1.1234726016405265
2019-07-31,1.2255774770541437,1.1245840937342422
2019-08-31,1.261486126195402,1.1231563550372148
2019-09-30,1.253979474006263,1.1329259598641928
2019-10-31,1.2649190792705263,1.1533248177535032
2019-11-30,1.2738101267789477,1.1691144160561608
2019-12-31,1.2996154345967128,1.2202065457947728
2020-01-31,1.3152676460918051,1.186952243788006
2020-02-29,1.3075208782791934,1.1243313368319816
2020-03-31,1.2025050391845027,0.9009217146401656
2020-04-30,1.255985825600754,0.9328296145243452
2020-05-31,1.3019655711430298,1.0226879758003782
2020-06-30,1.3332632775418285,1.0691909219837232
2020-07-31,1.3894595546222606,1.1323875848054268
2020-08-31,1.4063611960218854,1.1832900238385131
2020-09-30,1.3877675232495035,1.1425447382229887
2020-10-31,1.363111583401001,1.1066754233417981
2020-11-30,1.4344320351957422,1.23964978892664
2020-12-31,1.4650709687030603,1.3027815170587225
2021-01-31,1.4626293714424998,1.3195712187062625
2021-02-28,1.444792602450715,1.3665054387099036
2021-03-31,1.4275182909386988,1.3617109288255114
2021-04-30,1.4742009726637484,1.4488828626542565
2021-05-31,1.4947414772360337,1.4806711305655453
2021-06-30,1.524680348507622,1.5273155953128577
2021-07-31,1.574577855369336,1.5693330964164751
2021-08-31,1.5707806502559727,1.5673225387132685
2021-09-30,1.5473879528811976,1.5580595416356102
2021-10-31,1.5948063840110946,1.6419146014574941
2021-11-30,1.5745890359694195,1.5611755779844063
2021-12-31,1.6038430796919967,1.6342683858711617
2022-01-31,1.572732086747603,1.6397435046605588
2022-02-28,1.5835053407067514,1.6649159102087188
2022-03-31,1.5576541183619954,1.6939550162892814
2022-04-30,1.4781062966352876,1.597086842288846
2022-05-31,1.5009499230458427,1.641584212759667
2022-06-30,1.3894562336449585,1.4881667474574123
2022-07-31,1.4770243665364369,1.585755819917962
2022-08-31,1.3857298019568731,1.4814563770002478
2022-09-30,1.2150286770085639,1.2873672562828382
2022-10-31,1.256614847099972,1.3531146075054643
2022-11-30,1.3321560461994686,1.4491074897371796
2022-12-31,1.288589582810055,1.390655867320807
2023-01-31,1.3625554781883404,1.4860133087931848
2023-02-28,1.2904103001470688,1.3993104595739085
2023-03-31,1.3450652458026007,1.4586579616224078
2023-04-30,1.3512615594911874,1.4702148517625269
2023-05-31,1.2932465068654322,1.4066007106466587
2023-06-30,1.3303555197408856,1.465569649031439
2023-07-31,1.4006188547101837,1.5556748541248142
2023-08-31,1.3788649556113488,1.524801415379767
2023-09-30,1.3427255455131164,1.4760890651864853
2023-10-31,1.2910377302995812,1.4130589695042832
