date,correlation
2010-03-31,0.42486147824934284
2010-04-30,0.43663307158202685
2010-05-31,0.42734480833159627
2010-06-30,0.4054965430205166
2010-07-31,0.39814556508390386
2010-08-31,0.38863252616194854
2010-09-30,0.2992105012256787
2010-10-31,0.14048671801757173
2010-11-30,0.2653596270960292
2010-12-31,0.23619522383488736
2011-01-31,0.05072567007922501
2011-02-28,-0.1117597029519895
2011-03-31,-0.12558103786444227
2011-04-30,-0.10873961173586479
2011-05-31,-0.1553598073244082
2011-06-30,-0.12297340731767002
2011-07-31,-0.22740926908197556
2011-08-31,-0.29981293191836245
2011-09-30,-0.328954659165284
2011-10-31,-0.3448557964581313
2011-11-30,-0.36970344581102815
2011-12-31,-0.40420771111633413
2012-01-31,-0.36146441828284226
2012-02-29,-0.3725098518204204
2012-03-31,-0.3449003611961636
2012-04-30,-0.3477899185393357
2012-05-31,-0.3473847611589382
2012-06-30,-0.3303559474011328
2012-07-31,-0.37387612456855274
2012-08-31,-0.35121173417963336
2012-09-30,-0.3388309881669428
2012-10-31,-0.32547235574086336
2012-11-30,-0.38935116748774207
2012-12-31,-0.33667029813985555
2013-01-31,-0.3606772240538993
2013-02-28,-0.3588313327731914
2013-03-31,-0.38097416315586974
2013-04-30,-0.4491447303900218
2013-05-31,-0.33217546857903885
2013-06-30,-0.26399309951363925
2013-07-31,-0.23229520544399068
2013-08-31,-0.08882730432688903
2013-09-30,0.055405973915081425
2013-10-31,0.09056665253432479
2013-11-30,0.07236047102354139
2013-12-31,0.11742358232410906
2014-01-31,-0.0561837646077488
2014-02-28,-0.033456789855009765
2014-03-31,-0.03170392076757797
2014-04-30,-0.005728535659576761
2014-05-31,0.20036139073898176
2014-06-30,0.21922659689653048
2014-07-31,0.2618959312040425
2014-08-31,0.28005874985536844
2014-09-30,0.31681997709341125
2014-10-31,0.3065618289577706
2014-11-30,0.3048594498253247
2014-12-31,0.31079961319417626
2015-01-31,0.26408093271302074
2015-02-28,0.16881350662582764
2015-03-31,0.16215799476126108
2015-04-30,0.12532168745663827
2015-05-31,0.10109420239239714
2015-06-30,0.07421805103986572
2015-07-31,0.07572104299301483
2015-08-31,0.09214587652157562
2015-09-30,-0.013109515844310577
2015-10-31,-0.06957278859003559
2015-11-30,-0.050375685288510934
2015-12-31,-0.009154573575826701
2016-01-31,0.003406702992585782
2016-02-29,-0.01943567130854418
2016-03-31,0.05294523177058654
2016-04-30,0.04378575763498349
2016-05-31,0.01603091147036336
2016-06-30,0.0227340604489056
2016-07-31,0.020099696043634395
2016-08-31,-0.011029819557331302
2016-09-30,-0.06592037493276018
2016-10-31,-0.040151464936680405
2016-11-30,-0.07165415473795209
2016-12-31,-0.06832415909552934
2017-01-31,-0.023999550022527474
2017-02-28,0.06428313905276031
2017-03-31,0.0699994199831835
2017-04-30,0.09894959057020113
2017-05-31,0.10778935188227483
2017-06-30,0.05088105983708424
2017-07-31,0.05319877937839868
2017-08-31,-0.02421557266497161
2017-09-30,0.012324129626666458
2017-10-31,0.03146839455122166
2017-11-30,0.0033374844982497196
2017-12-31,-0.027222617171054456
2018-01-31,0.008598712910616594
2018-02-28,0.20694067214160228
2018-03-31,0.07238701557311993
2018-04-30,0.08887116189614173
2018-05-31,0.07668118110014409
2018-06-30,0.1440000313801327
2018-07-31,0.10662928494898531
2018-08-31,0.09426098523964638
2018-09-30,0.10211811030815543
2018-10-31,0.13628587392471123
2018-11-30,0.1973480030784407
2018-12-31,-0.14707743896052164
2019-01-31,-0.0386365937092378
2019-02-28,-0.06139691479932761
2019-03-31,-0.02854459939531246
2019-04-30,-0.053536133707241675
2019-05-31,-0.20312451412237917
2019-06-30,-0.13074856334612575
2019-07-31,-0.13141396630275853
2019-08-31,-0.18607833933569523
2019-09-30,-0.18989823944610612
2019-10-31,-0.18864686203214
2019-11-30,-0.18841622685371395
2019-12-31,-0.19912913058863252
2020-01-31,-0.15217738731279837
2020-02-29,-0.31146316584445227
2020-03-31,-0.1248835594055589
2020-04-30,-0.0239847438369132
2020-05-31,-0.023044307835177743
2020-06-30,-0.027746669874727573
2020-07-31,0.01065226811384041
2020-08-31,-0.0497892594003584
2020-09-30,-0.03008642266525742
2020-10-31,-0.08770683545643089
2020-11-30,-0.043623554699515295
2020-12-31,0.025324802407845702
2021-01-31,0.030130873246626135
2021-02-28,0.020388191492998007
2021-03-31,0.0031298845016227866
2021-04-30,0.017803600468652998
2021-05-31,0.11097661195112077
2021-06-30,0.08344131432231813
2021-07-31,0.07628039983937965
2021-08-31,0.17312402796436352
2021-09-30,0.22936847589480325
2021-10-31,0.21911292173801378
2021-11-30,0.2177423692753707
2021-12-31,0.2086793424515842
2022-01-31,0.3456336250998557
2022-02-28,0.5377294172321708
2022-03-31,0.5227849029928902
2022-04-30,0.5912596649722787
2022-05-31,0.5594610354601633
2022-06-30,0.5725082681360706
2022-07-31,0.5943587915998625
2022-08-31,0.6493306800289369
2022-09-30,0.7261626113059664
2022-10-31,0.6907289706035018
2022-11-30,0.7172669433811202
2022-12-31,0.7082461241373075
2023-01-31,0.738446962043037
2023-02-28,0.7595078488194177
2023-03-31,0.7714264871064593
2023-04-30,0.7697864941486287
2023-05-31,0.7692016226778239
2023-06-30,0.750869699726431
2023-07-31,0.7543631363206958
2023-08-31,0.750709516313869
2023-09-30,0.7632751296091467
2023-10-31,0.7718339068303998
2023-11-30,0.8116844166823008
2023-12-31,0.818699599605778
2024-01-31,0.8146231909525414
2024-02-29,0.7854245652437754
2024-03-31,0.8177346990927088
2024-04-30,0.8032811339418068
2024-05-31,0.8107453262719263
2024-06-30,0.8249760784192675
2024-07-31,0.8005377555989958
2024-08-31,0.7854463107681843
2024-09-30,0.7343813100158729
2024-10-31,0.81597032067523
2024-11-30,0.7931999122934288
2024-12-31,0.8130644893089374
