date,AGG,ACWI,GSG,TIP
2013-04-30,1.1969636330872198,0.1647419271057164,0.1088312628738944,0.5294631769331694
2013-05-31,1.0264006138623203,0.24545715522612516,0.15337563108334418,0.5747665998282107
2013-06-30,1.0183094335989866,0.27100022525897327,0.19716556156961865,0.5135247795724217
2013-07-31,1.0335173213746789,0.26567989030793027,0.20853861716969682,0.49226417114769416
2013-08-31,1.017870853137357,0.2673016824831779,0.20547429314106966,0.5093531712383955
2013-09-30,1.0033278862605064,0.2631900898210363,0.23575637501680927,0.49772564890164817
2013-10-31,0.9991943221834547,0.24901321634013343,0.25250206253206264,0.49929039894434923
2013-11-30,0.9978864541353288,0.24018839485010274,0.25415380477317234,0.5077713462413961
2013-12-31,0.8965220075591944,0.3348905225356137,0.3272632035812841,0.44132426632390753
2014-01-31,0.8974570013006898,0.33872748579019885,0.3257340295546616,0.4380814833544499
2014-02-28,0.9444777812845357,0.2815185252409605,0.3349768307584487,0.4390268627160549
2014-03-31,0.9367689878616394,0.26871258813161547,0.36044845598854414,0.4340699680182012
2014-04-30,0.931710282210953,0.2750708466175554,0.36038466995555607,0.43283420121593563
2014-05-31,0.9214812650564831,0.2866566713070677,0.3824489520711676,0.40941311156528176
2014-06-30,0.9169812536775422,0.2890623417364468,0.3878425931155162,0.4061138114704948
2014-07-31,0.9247741148198545,0.2872402780010849,0.3630859291911122,0.42489967798794853
2014-08-31,0.8964500072344836,0.29359512288595113,0.3677351472080013,0.44221972267156406
2014-09-30,0.9039538391131862,0.29147322321090907,0.3670253188751619,0.4375476188007429
2014-10-31,0.9265036304747245,0.2882944475107659,0.3481834049312591,0.43701851708325046
2014-11-30,0.9443132844068965,0.29549750224171584,0.3188047095373867,0.4413845038140009
2014-12-31,1.0390737267546815,0.26422614607928036,0.23565654222465576,0.46104358494138264
2015-01-31,1.0817367509298685,0.25941697415811277,0.18552601355362322,0.47332026135839556
2015-02-28,1.0499372491105134,0.27263882988835286,0.20268374971842038,0.4747401712827135
2015-03-31,1.078926843843675,0.2726485328677592,0.1771191201381681,0.4713055031503978
2015-04-30,1.1069732935141094,0.28894074415226595,0.14742690320561813,0.45665905912800636
2015-05-31,1.1285027123647295,0.2988921243712457,0.1365111348776855,0.4360940283863395
2015-06-30,1.096765345255283,0.29365759930468294,0.1475766504657885,0.4620004049742458
2015-07-31,1.0810642628623883,0.2885213325213724,0.14954076028655347,0.48087364432968577
2015-08-31,1.1109851650035447,0.24651125203363247,0.1553128893037395,0.4871906936590834
2015-09-30,1.1196555801737382,0.24182840387884635,0.16854546404223963,0.46997055190517606
2015-10-31,1.1476299997939872,0.21817600083966082,0.16774831865703357,0.4664456807093184
2015-11-30,1.1502681626459548,0.20213060953489997,0.1666138759008639,0.4809873519182815
2015-12-31,1.1479504918219212,0.19391771944830882,0.15957082727426414,0.4985609614555059
2016-01-31,1.1268324892231065,0.20439952661346886,0.1654476887259682,0.5033202954374565
2016-02-29,1.1261931857220073,0.21603162188424663,0.1660672606937816,0.49170793169996474
2016-03-31,1.163326014435406,0.20544734349339386,0.1594785404575984,0.47174810161360164
2016-04-30,1.1519901936879193,0.19414247516505231,0.13889156088435184,0.5149757702626768
2016-05-31,1.1615592671332173,0.19526727590320275,0.1280432551961748,0.5151302017674051
2016-06-30,1.1231676029360094,0.21235246158168536,0.1343660010057755,0.53011393447653
2016-07-31,1.0707852125480193,0.22256394434863716,0.1517525994115295,0.5548982436918143
2016-08-31,1.0852546671572718,0.20354756944530486,0.13591550311793357,0.5752822602794901
2016-09-30,1.0918695565285133,0.20357976343611672,0.13448856767341227,0.5700621123619578
2016-10-31,1.064256022265268,0.20746055115505296,0.13938074708521947,0.5889026794944598
2016-11-30,0.9479971062473278,0.2408925042780887,0.17756160040028923,0.6335487890742945
2016-12-31,0.9055321508183863,0.2527756184080171,0.18539625332512102,0.6562959774484757
2017-01-31,0.9234570379477509,0.24941096355263356,0.17428077631965172,0.6528512221799638
2017-02-28,0.9111935612952281,0.2443513548422718,0.1906130105739577,0.6538420732885425
2017-03-31,0.8873021374649185,0.27313773609389,0.1760686974553283,0.6634914289858632
2017-04-30,0.8347397151055523,0.2911253104554988,0.18215401994762218,0.6919809544913267
2017-05-31,0.8113245096708728,0.3229684453186003,0.1793890906299981,0.6863179543805286
2017-06-30,0.8227282594367433,0.3193941153373211,0.1962336296632147,0.661643995562721
2017-07-31,0.7863048770957429,0.32698955684132774,0.21149114820949938,0.6752144178534302
2017-08-31,0.7581010864383222,0.38382516554706464,0.22116167361010997,0.6369120744045034
2017-09-30,0.7506118724120869,0.3975036060653115,0.22572449183228885,0.6261600296903127
2017-10-31,0.6268767951244755,0.5611673496793028,0.21196741535680302,0.599988439839419
2017-11-30,0.6276999906176888,0.5372993102786447,0.24698122543022555,0.5880194736734411
2017-12-31,0.6223467041866176,0.5526933188414372,0.23723946965625098,0.5877205073156941
2018-01-31,0.6911832168240507,0.44176538547721916,0.22034796862980785,0.6467034290689225
2018-02-28,0.7432507925242894,0.321633704764459,0.24711898416508835,0.6879965185461635
2018-03-31,0.7566231342802,0.2978860540729394,0.24351145858928785,0.7019793530575729
2018-04-30,0.7418761921819285,0.29744769389861425,0.2501983884199589,0.7104777254994985
2018-05-31,0.740510117455299,0.31483199716287913,0.25235098169107983,0.6923069036907418
2018-06-30,0.8285001844122842,0.2642434867822285,0.20033214758498694,0.7069241812205005
2018-07-31,0.8425655359529649,0.2727647650282151,0.20367613552951158,0.6809935634893084
2018-08-31,0.830418781268285,0.2878458778643398,0.19260716539196246,0.6891281754754126
