row,col,value
VTI,VTI,1.0
VTI,HEDJ,0.7876287623425877
VTI,VWO,0.7487740027715034
VTI,QQQ,0.9197660046188211
VTI,IWM,0.8968234490290773
VTI,EWJ,0.7204070077373681
VTI,INDA,0.6041688038398146
VTI,AGG,-0.21486256891909636
VTI,BNDX,-0.13172263922313082
VTI,TLT,-0.35290236822659304
VTI,LQD,-0.06872043752120216
VTI,HYG,0.7016427861014327
VTI,TIP,-0.1933256244930377
VTI,STPZ,-0.0834292229519175
VTI,GLD,-0.1468288404818173
VTI,USO,0.3264487092082054
VTI,CPER,0.13587807707477464
VTI,SLV,0.0716948676843243
VTI,DBA,0.15072450999161502
VTI,UNG,-0.012086701753055576
HEDJ,VTI,0.7876287623425877
HEDJ,HEDJ,1.0
HEDJ,VWO,0.6979134054799676
HEDJ,QQQ,0.7119954451798018
HEDJ,IWM,0.697164041433319
HEDJ,EWJ,0.7034110802447145
HEDJ,INDA,0.5947854193668859
HEDJ,AGG,-0.2592430957999134
HEDJ,BNDX,-0.11285991109581808
HEDJ,TLT,-0.372529388252308
HEDJ,LQD,-0.11671276483922056
HEDJ,HYG,0.6171386960864101
HEDJ,TIP,-0.2293714062118414
HEDJ,STPZ,-0.13235480059522195
HEDJ,GLD,-0.2628749362843971
HEDJ,USO,0.25985144348858313
HEDJ,CPER,0.1380948607437123
HEDJ,SLV,-0.02058482669712282
HEDJ,DBA,0.11384169539472254
HEDJ,UNG,-0.012864883535652245
VWO,VTI,0.7487740027715034
VWO,HEDJ,0.6979134054799676
VWO,VWO,1.0
VWO,QQQ,0.6947261579299377
VWO,IWM,0.646912353408151
VWO,EWJ,0.6560697396222251
VWO,INDA,0.7626935133512608
VWO,AGG,-0.07539025411919965
VWO,BNDX,-0.06598862134054453
VWO,TLT,-0.2420123283195028
VWO,LQD,0.026544022199461132
VWO,HYG,0.6500076288346712
VWO,TIP,-0.04623821274015649
VWO,STPZ,0.06307946186457038
VWO,GLD,0.01885677043987981
VWO,USO,0.38049879828850675
VWO,CPER,0.168198014249801
VWO,SLV,0.23838042557186848
VWO,DBA,0.25914279791648814
VWO,UNG,0.03642340408052428
QQQ,VTI,0.9197660046188211
QQQ,HEDJ,0.7119954451798018
QQQ,VWO,0.6947261579299377
QQQ,QQQ,1.0
QQQ,IWM,0.7919502071454454
QQQ,EWJ,0.6572231873368103
QQQ,INDA,0.5483081290274939
QQQ,AGG,-0.14993656053263052
QQQ,BNDX,-0.07697333054791419
QQQ,TLT,-0.2769325347421711
QQQ,LQD,-0.030624336835107263
QQQ,HYG,0.6183412626999244
QQQ,TIP,-0.1604241220000311
QQQ,STPZ,-0.09354121716400851
QQQ,GLD,-0.13522805716711592
QQQ,USO,0.22016942516292598
QQQ,CPER,0.10084022111159191
QQQ,SLV,0.04950189896700786
QQQ,DBA,0.12305993606112182
QQQ,UNG,-0.04198782155883806
IWM,VTI,0.8968234490290773
IWM,HEDJ,0.697164041433319
IWM,VWO,0.646912353408151
IWM,QQQ,0.7919502071454454
IWM,IWM,1.0
IWM,EWJ,0.6251990929710585
IWM,INDA,0.5332495791632157
IWM,AGG,-0.23229066489590275
IWM,BNDX,-0.14735400410699237
IWM,TLT,-0.3543905927267221
IWM,LQD,-0.10449802858654275
IWM,HYG,0.6416027627922676
IWM,TIP,-0.19130891042844297
IWM,STPZ,-0.07932611964256844
IWM,GLD,-0.13748842622201754
IWM,USO,0.2957735441944719
IWM,CPER,0.1401720571491155
IWM,SLV,0.06623488007116707
IWM,DBA,0.12517116126080163
IWM,UNG,-0.0039518057222687935
EWJ,VTI,0.7204070077373681
EWJ,HEDJ,0.7034110802447145
EWJ,VWO,0.6560697396222251
EWJ,QQQ,0.6572231873368103
EWJ,IWM,0.6251990929710585
EWJ,EWJ,1.0
EWJ,INDA,0.5347564515080545
EWJ,AGG,-0.14055600713788713
EWJ,BNDX,-0.08894447421448701
EWJ,TLT,-0.2575441349652541
EWJ,LQD,-0.02697030959696439
EWJ,HYG,0.5254363316801353
EWJ,TIP,-0.12451961040387302
EWJ,STPZ,-0.050648296456794355
EWJ,GLD,-0.11716151716399047
EWJ,USO,0.2613002031570977
EWJ,CPER,0.1086671387139468
EWJ,SLV,0.07822029437238619
EWJ,DBA,0.1626385743746722
EWJ,UNG,0.011033877315460528
INDA,VTI,0.6041688038398146
INDA,HEDJ,0.5947854193668859
INDA,VWO,0.7626935133512608
INDA,QQQ,0.5483081290274939
INDA,IWM,0.5332495791632157
