date,optimizedMa,benchmark
2014-01-03,0.9989461988545709,0.9981870230116202
2014-01-06,0.9989557213997746,0.9990749928598303
2014-01-07,1.0012797098805093,1.0021916588665443
2014-01-08,0.9953265808744446,0.9961244458590347
2014-01-09,0.9955348169709813,0.9961239965545649
2014-01-10,1.0062342553968893,1.0075773752475683
2014-01-13,1.00068101206164,1.001772420721719
2014-01-14,1.0043071713682983,1.0041327858435727
2014-01-15,1.0100811094194013,1.0081254754786682
2014-01-16,1.0105607823868925,1.0085923670760517
2014-01-17,1.0098363701340485,1.0086991525504965
2014-01-21,1.0116234631454568,1.011525596582192
2014-01-22,1.0152209146973314,1.0146954506182337
2014-01-23,1.0153596987024767,1.0132122448899885
2014-01-24,1.0070210985867925,1.0057750739611473
2014-01-27,0.9975020930729003,0.9968867062231384
2014-01-28,1.0065580541940227,1.005399585847368
2014-01-29,1.0066983247624863,1.004594594247491
2014-01-30,1.0107260542515484,1.0086304492542026
2014-01-31,1.009734796673866,1.0029673150463299
2014-02-03,1.003648557577287,0.9967348385935464
2014-02-04,1.008208536610831,0.999538927391054
2014-02-05,1.0046050774820694,0.9966663211107719
2014-02-06,1.0109143142831651,1.0064433640482342
2014-02-07,1.0234469169501177,1.0197218058046267
2014-02-10,1.0230068266149492,1.0180212742289667
2014-02-11,1.0285163751194601,1.0236627415311232
2014-02-12,1.0280934801324848,1.0230391646301717
2014-02-13,1.0346524988171888,1.030083595590003
2014-02-14,1.0378075081724742,1.0327940645675588
2014-02-18,1.0484463905439483,1.0422426518927126
2014-02-19,1.0466761001184595,1.0396531817702406
2014-02-20,1.0479392758423636,1.0416935597516586
2014-02-21,1.0495913751561936,1.0410107377190576
2014-02-24,1.0532095934771772,1.045726285800867
2014-02-25,1.05443536349909,1.0453374404994862
2014-02-26,1.0565741727001157,1.0472567096699934
2014-02-27,1.0608753844849825,1.0496102253550972
2014-02-28,1.0624118143773205,1.0525636150448634
2014-03-03,1.0680661375588814,1.0566162307472553
2014-03-04,1.0681461088447461,1.056230869353761
2014-03-05,1.0656783417918982,1.0518530261837777
2014-03-06,1.0684135605423994,1.055372330110063
2014-03-07,1.0637175553773108,1.0512458392385966
2014-03-10,1.0602847649188378,1.046173924283844
2014-03-11,1.05435500743694,1.0417760646094876
2014-03-12,1.0540956995235204,1.0421984777503184
2014-03-13,1.0502771445741053,1.0360302251437346
2014-03-14,1.050668909777962,1.037119896292878
2014-03-17,1.0504386375996486,1.0372027528380523
